domains,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,char_number,char_word,char_symbol,Label
www.zvon.org,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.833333333,0.166666667,0
bima.astro.umd.edu,0,0,0.07368421052631578,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.833333333,0.166666667,0
www.synchrotech.com,0,0,0.07894736842105263,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.894736842,0.105263158,0
www.ansi.okstate.edu,0,0,0.08421052631578947,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.85,0.15,0
www.grok2.com,0,0,0.04736842105263158,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.076923077,0.769230769,0.153846154,0
www.pbs.org,0,0,0.03684210526315789,0,0,0,0,0,0,0.34067033516758377,1,1,0,0,1,0.058823529411764705,0.0,0.818181818,0.181818182,0
tools.ietf.org,0,0,0.05263157894736842,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.857142857,0.142857143,0
www.perl.com,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.833333333,0.166666667,0
friendswoodexpress.homestead.com,0,0,0.14736842105263157,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.9375,0.0625,0
badluck42.tripod.com,0,0,0.08421052631578947,0,0,0,0,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.1,0.8,0.1,0
www.cliki.net,0,0,0.04736842105263158,0,0,0,0,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.846153846,0.153846154,0
swlucylawless.tripod.com,0,0,0.10526315789473684,0,0,0,0,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.916666667,0.083333333,0
www.sedit.com,0,0,0.04736842105263158,0,0,0,1,0,0,1.0,1,1,0,0,1,0.0,0.0,0.846153846,0.153846154,0
www.marketingprofs.com,0,0,0.09473684210526316,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.909090909,0.090909091,0
www.tmtm.org,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.833333333,0.166666667,0
www.ewrinc.com,0,0,0.05263157894736842,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.857142857,0.142857143,0
www.onlamp.com,0,0,0.05263157894736842,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.857142857,0.142857143,0
www.macharsoft.co.uk,0,0,0.08421052631578947,0,0,0,1,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.85,0.15,0
www.grinninglizard.com,0,0,0.09473684210526316,0,0,0,0,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.909090909,0.090909091,0
www.freewebs.com,0,0,0.06315789473684211,0,0,0,0,0,0,1.0,1,1,0,0,1,0.17647058823529413,0.0,0.875,0.125,0
www.agdealer.com,0,0,0.06315789473684211,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.875,0.125,0
www.angelfire.com,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,0,0,0,1,0.11764705882352941,0.0,0.882352941,0.117647059,0
www.alentus.com,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.866666667,0.133333333,0
www.enjoythemusic.com,0,0,0.08947368421052632,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.904761905,0.095238095,0
rawstory.com,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.916666667,0.083333333,0
www.microsoft.com,0,0,0.06842105263157895,0,0,0,1,0,0,0.007503751875937969,1,1,0,0,1,0.0,0.0,0.882352941,0.117647059,0
www.cgiexpo.com,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.866666667,0.133333333,0
www.region18.org,0,0,0.06315789473684211,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.125,0.75,0.125,0
arglist.com,0,0,0.03684210526315789,0,0,0,1,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.909090909,0.090909091,0
home.scarlet.be,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.866666667,0.133333333,0
www.java4less.com,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.058823529,0.823529412,0.117647059,0
www.fgroupsoft.com,0,0,0.07368421052631578,0,0,0,1,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.888888889,0.111111111,0
groups.google.com,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,1,0,0,1,0.35294117647058826,0.0,0.882352941,0.117647059,0
www.w3.org,0,0,0.031578947368421054,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.1,0.7,0.2,0
java.sun.com,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.23529411764705882,0.0,0.833333333,0.166666667,0
www.visual-paradigm.com,0,0,0.1,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.869565217,0.130434783,0
www.ariadne.ac.uk,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.823529412,0.176470588,0
blumenthals.com,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.933333333,0.066666667,0
www.cc.gatech.edu,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.823529412,0.176470588,0
www.ibm.com,0,0,0.03684210526315789,0,0,0,0,0,0,0.23311655827913957,1,1,0,0,1,0.17647058823529413,0.0,0.818181818,0.181818182,0
www.edb.utexas.edu,0,0,0.07368421052631578,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.833333333,0.166666667,0
daubau.it,0,0,0.02631578947368421,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.888888889,0.111111111,0
www.innerpeace.org,0,0,0.07368421052631578,0,0,0,0,0,0,1.0,1,0,0,0,1,0.0,0.0,0.888888889,0.111111111,0
www.sans.org,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.833333333,0.166666667,0
www.usatoday.com,0,0,0.06315789473684211,0,0,0,0,0,0,0.11855927963981991,1,1,0,0,1,0.058823529411764705,0.0,0.875,0.125,0
www.thewanderlust.net,0,0,0.08947368421052632,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.904761905,0.095238095,0
www.cs.wisc.edu,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.8,0.2,0
www.icann.org,0,0,0.04736842105263158,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.846153846,0.153846154,0
en.wikipedia.org,0,0,0.06315789473684211,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.875,0.125,0
developer.apple.com,0,0,0.07894736842105263,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.894736842,0.105263158,0
www.netlib.org,0,0,0.05263157894736842,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.857142857,0.142857143,0
www.paraben.com,0,0,0.05789473684210526,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.866666667,0.133333333,0
www.lgrossman.com,0,0,0.06842105263157895,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.882352941,0.117647059,0
goldtassel.faithweb.com,0,0,0.1,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.913043478,0.086956522,0
www.memex.org,0,0,0.04736842105263158,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.846153846,0.153846154,0
www.dassault-aviation.com,0,0,0.11052631578947368,0,0,0,0,0,0,1.0,1,1,0,0,1,0.11764705882352941,0.0,0.88,0.12,0
duh.com,0,0,0.015789473684210527,0,0,0,0,0,0,1.0,1,1,0,0,1,0.058823529411764705,0.0,0.857142857,0.142857143,0
www.thaiopensource.com,0,0,0.09473684210526316,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.909090909,0.090909091,0
www.accusoft.com,0,0,0.06315789473684211,0,0,0,1,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.875,0.125,0
jpbrewton.tripod.com,0,0,0.08421052631578947,0,0,0,0,0,0,1.0,1,0,0,0,1,0.058823529411764705,0.0,0.9,0.1,0
www.wtrt.net,0,0,0.042105263157894736,0,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.833333333,0.166666667,0
