domains,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,char_number,char_word,char_symbol,son_domain,Label
www.mathplayground.com,0,0,0.0947368421052631,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.909090909,0.090909091,0.5,0
kristiemariebeals.com,0,0,0.0894736842105263,0.06666666666666667,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.0,0.9523809523809524,0.0476190476190476,0.5,1
parkersequinecenter.homestead.com,0,0,0.1526315789473684,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.9393939393939394,0.0606060606060606,0.5,0
www.capturethespirit.co.uk,0,0,0.1157894736842105,0.2,0,0,1,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8846153846153846,0.1153846153846153,0.6,0
noisy-sky-aa0e.glro9t32e7.workers.dev,0,0,0.1736842105263158,0.2,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.1351351351351351,0.7297297297297297,0.1351351351351351,1.0,1
dreamers.com,0,0,0.0421052631578947,0.06666666666666667,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.916666667,0.083333333,0.5,0
a400cb1c-3d56-467d-be17-5cafac034dee.id.repl.co,0,0,0.2263157894736842,0.2,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.3404255319148936,0.5106382978723404,0.1489361702127659,0.6,1
www.team-solutions.com,0,0,0.0947368421052631,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.1176470588235294,0.0,0.8636363636363636,0.1363636363636363,0.5,0
www.feedmagazine.net,0,0,0.0842105263157894,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.9,0.1,0.4,0
oferta-produto-kl.online,0,0,0.1052631578947368,0.06666666666666667,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.0,0.875,0.125,1.0,1
bnrural.virtualrural.repl.co,0,0,0.1263157894736842,0.2,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.8928571428571429,0.1071428571428571,0.6,1
twitter.com,0,0,0.0368421052631578,0.06666666666666667,0,0,0,0,0,0.0015007503751875,1,1,0,0,1,0.1176470588235294,0.0,0.9090909090909092,0.0909090909090909,0.5,0
commbank-netbank-on.line.pm,0,0,0.1210526315789473,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.8518518518518519,0.1481481481481481,0.6,1
fb-restriction-case-5642d.firebaseapp.com,0,0,0.1947368421052631,0.13333333333333333,0,0,0,0,1,1.0,1,1,0,0,1,0.0588235294117647,0.0975609756097561,0.7804878048780488,0.1219512195121951,0.5,1
www.radolgc.com,0,0,0.0578947368421052,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.866666667,0.133333333,0.5,0
www.boost.org,0,0,0.0473684210526315,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.846153846,0.153846154,0.3,0
www.tnl.net,0,0,0.0368421052631578,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.1176470588235294,0.0,0.818181818,0.181818182,0.4,0
www.altaindia.com,0,0,0.0684210526315789,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8823529411764706,0.1176470588235294,0.5,0
ea.com,0,0,0.0105263157894736,0.06666666666666667,0,0,0,0,0,0.0990495247623811,1,1,0,0,1,0.1176470588235294,0.0,0.8333333333333334,0.1666666666666666,0.5,0
service-infraction.fr,0,0,0.0894736842105263,0.06666666666666667,0,0,0,0,0,1.0,1,1,0,0,1,0.1176470588235294,0.0,0.9047619047619048,0.0952380952380952,0.6,1
scl.uniontoy.top,0,0,0.0631578947368421,0.13333333333333333,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.0,0.875,0.125,0.8,1
projects.haskell.org,0,0,0.0842105263157894,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.1176470588235294,0.0,0.9,0.1,0.3,0
updateform-rec.myportfolio.com,0,0,0.1368421052631579,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.9,0.1,0.5,1
www.kbcafe.com,0,0,0.0526315789473684,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.8571428571428571,0.1428571428571428,0.5,0
marciavidal.com,0,0,0.0578947368421052,0.06666666666666667,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.9333333333333332,0.0666666666666666,0.5,1
syneoshealthlondon.co.uk.mcas.ms,0,0,0.1473684210526315,0.26666666666666666,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.875,0.125,0.6,1
bc4645.atspace.cc,0,0,0.0684210526315789,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.2352941176470588,0.6470588235294118,0.1176470588235294,0.6,1
uniswap.umidao.org,0,0,0.0736842105263157,0.13333333333333333,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.0,0.8888888888888888,0.1111111111111111,0.3,1
www.aprilmediaproductions.com,0,0,0.131578947368421,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.9310344827586208,0.0689655172413793,0.5,0
uvvwwcqtepyjkqkcpok12.z20.web.core.windows.net,0,0,0.2210526315789473,0.3333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0869565217391304,0.8043478260869565,0.108695652173913,0.4,1
www.niallkennedy.com,0,0,0.0842105263157894,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.9,0.1,0.5,0
admin.fedoraproject.org,0,0,0.1,0.13333333333333333,0,0,0,0,0,1.0,1,0,0,0,1,0.1176470588235294,0.0,0.9130434782608696,0.0869565217391304,0.3,0
springer.com,0,0,0.0421052631578947,0.06666666666666667,0,0,0,0,0,1.0,1,1,0,0,1,0.1764705882352941,0.0,0.9166666666666666,0.0833333333333333,0.5,0
www.daddysdarlindonkeys.com,0,0,0.1210526315789473,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.925925926,0.074074074,0.5,0
www.zieglersoft.dk,0,0,0.0736842105263157,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.1176470588235294,0.0,0.888888889,0.111111111,0.6,0
www.siemon.com,0,0,0.0526315789473684,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8571428571428571,0.1428571428571428,0.5,0
0plk33.duckdns.org,0,0,0.0736842105263157,0.13333333333333333,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.1666666666666666,0.7222222222222222,0.1111111111111111,0.3,1
www.urban75.net,0,0,0.0578947368421052,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.1333333333333333,0.7333333333333333,0.1333333333333333,0.4,0
